id,name,description,alias
1,"Thanks! We'll be in touch soon!","Thanks! We'll be in touch soon!",forms-thank-you-message-header-text/thanks-well-be-touch-soon
2,"Thank you!","Thank you!
",forms-thank-you-message-header-text/thank-you
